happy joyful
sad unhappy
fast quick
slow sluggish
big large
small tiny
smart intelligent
dumb stupid
angry mad
calm peaceful
brave courageous
fear scared
begin start
end finish
buy purchase
sell trade
bright radiant
dark dim
clean tidy
dirty unclean
easy simple
hard difficult
old ancient
young youthful
rich wealthy
poor needy
strong powerful
weak fragile
right correct
wrong incorrect
funny humorous
boring dull
quiet silent
loud noisy
love affection
hate dislike
look glance
see observe
speak talk
run sprint
walk stroll
think ponder
help assist
make create
build construct
break destroy
win triumph
lose fail
